Timestamp,EventID,EventName,Section,Row,Seats,Qty,TotalPrice,ListPrice,FaceValue,Currency,TotalFees,Type,SellerNotes,OfferID,ListingID
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","120","1","17-18","2","1143.55","949","949","CAD","194.55","resale","","GN6DCMBRGYZTMOJZGM2XYMJXGVQTMMTCGBSDK","1016369935"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","111","22","1-4","4","277.15","230","230","CAD","47.15","resale","","GN6DCMBRHA3TAMJRHE4HYMJXGYZGMMZXHEZDK","1018701198"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","322","12","7-8","2","120.5","100","100","CAD","20.50","resale","","GN6DCMBRHAYDCNZZG42XYMJXGY2WKNJVMY4DK","1018017975"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","CRTW","C","11-12","2","1687","1400","1400","CAD","287.00","resale","","GN6DCMBRHE2DEMBVG4ZXYMJXGJQTKOLCGY4DK","1019420573"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","319","5","14-15","2","234.98","195","195","CAD","39.98","resale","","GN6DCMBRHE2DGNJWHE4HYMJWMRSTKMRQMYZTK","1019435698"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","310","13","13-14","2","139.78","116","116","CAD","23.78","resale","","GN6DCMBSG43DMMRVGEZXYMJXGY4GEYJWGI2DK","1027662513"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","319","12","20-26","7","144.6","120","120","CAD","24.60","resale","","GN6DCMBSGA3DMNJSGY4HYMJXGY2DEYLBMIYDK","1020665268"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","114","23","2-3","2","265.1","220","220","CAD","45.10","resale","","GN6DCMBSGAZDKMZTGUYXYMJXGRRWEOJWGM3DK","1020253351"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","101","27","9-12","4","482","400","400","CAD","82.00","resale","","GN6DCMBSGU3DCNRZGM2HYMJWMRSTEMBZGAYDK","1025616934"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","311","3","18-19","2","241","200","200","CAD","41.00","resale","","GN6DCMBSHE2TMNBSGE4HYMJWMRSTENBWGBTDK","1029564218"
